Zone code,Region/Countries/Area,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
202,Sub-Saharan Africa,1995,Balance imports/exports (millions of US dollars),,,"1,127",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2005,Balance imports/exports (millions of US dollars),,,"33,895",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2010,Balance imports/exports (millions of US dollars),,,"43,762",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2015,Balance imports/exports (millions of US dollars),,,"-47,827",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2020,Balance imports/exports (millions of US dollars),,,"-26,950",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2021,Balance imports/exports (millions of US dollars),,,"5,950",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2022,Balance imports/exports (millions of US dollars),,,"-76,356",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,1995,Imports CIF (millions of US dollars),,,"17,980",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2005,Imports CIF (millions of US dollars),,,"31,243",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2010,Imports CIF (millions of US dollars),,,"62,688",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2015,Imports CIF (millions of US dollars),,,"94,477",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2020,Imports CIF (millions of US dollars),,,"85,420",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2021,Imports CIF (millions of US dollars),,,"103,352",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
14,Eastern Africa,2022,Imports CIF (millions of US dollars),,,"209,241",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
